BARCODE,BRAND_CODE,CATEGORY,CATEGORY_CODE,NAME
511111904175,PEPPERIDGE FARM,Grocery,GROCERY,Pepperidge Farm
511111212997,CHEX MIX,Snacks,SNACKS,CHEX MIX
511111803393,,Snacks,SNACKS,Cheez-It
511111304982,BETTER HOMES & GARDENS,Magazines,MAGAZINES,Better Homes & Gardens Magazine
511111912859,TRUVIA,Baking,BAKING,Truvia®
511111401209,BAKER'S,Baking,BAKING,Baker's
511111700746,PG TIPS,Beverages,BEVERAGES,PG Tips
511111801191,CAPRI SUN,Beverages,BEVERAGES,Capri Sun
511111704652,HUGGIES,Baby,BABY,Huggies
511111603870,BLUE BUNNY,Frozen,FROZEN,Blue Bunny
511111500940,AXE,Personal Care,PERSONAL_CARE,Axe
511111502098,KNUDSEN,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,Knudsen
511111709848,LESTOIL,Cleaning & Home Improvement,CLEANING_AND_HOME_IMPROVEMENT,LESTOIL
511111306672,VIZZY,"Beer, Hard Cider & Seltzer",BEER_HARD_CIDER_AND_SELTZER,Vizzy
511111508670,BABY DOVE,Personal Care,PERSONAL_CARE,Baby Dove
511111503743,MURRAY,Baking,BAKING,Murray
511111811848,HUS KITCHEN,Candy & Sweets,CANDY_AND_SWEETS,HUS KITCHEN
511111907169,FRONTERA FROZEN,Frozen,FROZEN,Frontera®
511111203049,0,Beverages,BEVERAGES,Caffeine-free Diet Coke
511111002208,BULL'S-EYE,Condiments & Sauces,CONDIMENTS_AND_SAUCES,Bull's Eye
511111512462,,,,Glaceau smartwater
511111600916,BRUMMEL AND BROWN,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,BRUMMEL AND BROWN
511111901372,PERONI,"Beer, Hard Cider & Seltzer",BEER_HARD_CIDER_AND_SELTZER,Peroni Italy
511111614357,GOPUFF,Retailers,RETAILERS,Gopuff
511111405818,ONE A DAY® KIDS AND TEENS,Health & Wellness,HEALTHY_AND_WELLNESS,ONE A DAY® KIDS AND TEENS
511111605263,CLEAN EATING,Magazines,MAGAZINES,Clean Eating Magazine
511111013402,DENTASTIX,Pet,PET,DENTASTIX
511111101017,MICKEYS,"Beer, Hard Cider & Seltzer",BEER_HARD_CIDER_AND_SELTZER,Mickey's
511111906797,LIQUID PLUMR,Cleaning & Home Improvement,CLEANING_AND_HOME_IMPROVEMENT,Liquid-Plumr
511111614913,WINTERFRESH,Gum & Mints,GUM_AND_MINTS,WINTERFRESH®
511111006466,CRACKER BARREL CHEESE,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,Cracker Barrel Cheese
511111410713,COLUMBIA WINERY,Wine,WINE,COLUMBIA WINERY™
511111211167,BAHLSEN,Snacks,SNACKS,Bahlsen
511111703549,,,,Budweiser Select
511111908999,NICODERM,,,NICODERM
511111413950,LUCKY CHARMS OTHER,Breakfast & Cereal,BREAKFAST_AND_CEREAL,Lucky Charms Other
511111313984,NATURE VALLEY OTHER,Snacks,SNACKS,Nature Valley Other
511111813767,GOOD NATURED,Grocery,GROCERY,Good Natured
511111415909,SCOTT1,Household,HOUSEHOLD,Scott® Brand
511111510826,REDWOOD CREEK,Wine,WINE,REDWOOD CREEK
511111600282,KEYSTONE ICE,Beer Wine Spirits,BEER_WINE_SPIRITS,Keystone Ice
511111312451,,,,Glaceau vitaminwater
511111510109,EDNA VALLEY,Wine,WINE,EDNA VALLEY
511111709565,KODIAK CUPS,Baking,BAKING,Kodiak Cakes On-The-Go Cups
511111007135,EARTH BALANCE SPREADS,Condiments & Sauces,CONDIMENTS_AND_SAUCES,Earth Balance®
511111802075,EXPIRED KRAFT CARAMELS,Baking,BAKING,EXPIRED Kraft Caramels
511111614289,SHARPIE,Household,HOUSEHOLD,Sharpie
511111507918,BARE,Snacks,,Bare Snacks
511111713708,GALLO VERMOUTH,Wine,WINE,GALLO VERMOUTH
511111307488,NESTLE NAN,Baby,BABY,Nestle NAN
511111208747,MIRALAX,Health & Wellness,HEALTHY_AND_WELLNESS,MIRALAX
511111108122,ABSOLUT,Spirits,SPIRITS,Absolut®
511111304548,KRUNCHERS,Snacks,SNACKS,Krunches!
511111007067,BLAKES,Frozen,FROZEN,Blake's®
511111300588,PONDS,Beauty,BEAUTY,PONDS
511111015536,FUZZYS TACO SHOP,Restaurants,RESTAURANTS,Fuzzy's Taco Shop
511111413233,FISHER BOY,,,Fisher boy
511111902461,,,,Antarctica
511111006695,ONE A DAY,Health & Wellness,HEALTHY_AND_WELLNESS,One A Day®
511111812722,HAPPI FOODI,Grocery,GROCERY,Happi Foodi®
511111100904,CARESS,Personal Care,PERSONAL_CARE,Caress
511111704935,KEVITA,Beverages,BEVERAGES,KEVITA
511111911814,CYTOSPORT,Beverages,BEVERAGES,Cytosport
511111702948,DIET CHERRY COKE,Beverages,BEVERAGES,Diet Cherry Coke
511111900054,SUNSILK,Beauty & Personal Care,BEAUTY_AND_PERSONAL_CARE,Sunsilk
511111605058,HEALTH,Magazines,MAGAZINES,Health Magazine
511111004288,FOOD NETWORK KITCHEN INSPIRATIONS,Condiments & Sauces,CONDIMENTS_AND_SAUCES,Food Network Kitchen Inspirations
511111407171,GARDEIN,Frozen,FROZEN,Gardein®
511111415626,CHIPS AHOY,Snacks,SNACKS,CHIPS AHOY!
511111613756,SHREDS CEREAL,Breakfast & Cereal,BREAKFAST_AND_CEREAL,Shreds
511111715603,YANKEE CANDLE,Household,HOUSEHOLD,Yankee Candle
511111011873,PEDIGREE,Pet,PET,Pedigree®
511111207931,FRITO LAY,Snacks,SNACKS,Frito-Lay
511111014515,JIF,Grocery,GROCERY,Jif
511111702382,BREAKSTONE'S,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,Breakstone's
511111202677,,,,Snapple
511111001041,HOFFMAN'S,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,Hoffman's
511111001607,DIET PEPSI,Beverages,BEVERAGES,Diet Pepsi
511111609506,BUBBL'R,Beverages,BEVERAGES,BUBBL'R
511111902188,DELIMEX,Frozen,FROZEN,Delimex
